,title,price,link,parts
0,"> tv antenna for camper, limo, rv, car or truck<",0,https://charlottesville.craigslist.org/pts/d/charlottesville-tv-antenna-for-camper/7875878201.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
1,> engine control modules w/ e-proms : for chevy/gm vehicles <,30,https://charlottesville.craigslist.org/pts/d/charlottesville-engine-control-modules/7875878343.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
2,> auto glass : fits '78-'95 chevy/gmc vans <,0,https://charlottesville.craigslist.org/pts/d/charlottesville-auto-glass-fits-chevy/7875878285.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
3,2 gray vinyl 3 passenger row seats 2017 ford 150 transit xlt,1000,https://charlottesville.craigslist.org/pts/d/charlottesville-gray-vinyl-passenger/7885392551.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
4,chevy colorado tailgate,60,https://charlottesville.craigslist.org/pts/d/crozet-chevy-colorado-tailgate/7871469635.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
5,chevrolet  - 3 rows of mats,50,https://charlottesville.craigslist.org/pts/d/crozet-chevrolet-rows-of-mats/7871704760.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
6,1965 nova 327-4 speed engine 3790721,2500,https://charlottesville.craigslist.org/pts/d/charlottesville-1965-nova-speed-engine/7855774805.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
7,mini cooper 2002 oem wheels 18s,700,https://charlottesville.craigslist.org/pts/d/afton-mini-cooper-2002-oem-wheels-18s/7885173741.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
8,triumph tr4 custom hitch,250,https://charlottesville.craigslist.org/pts/d/woodberry-forest-triumph-tr4-custom/7865130490.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
9,triumph tr4 \ tr4a front fenders,350,https://charlottesville.craigslist.org/pts/d/woodberry-forest-triumph-tr4-tr4a-front/7865129394.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
10,ford f-100 wall mounted light and wine rack,900,https://charlottesville.craigslist.org/pts/d/woodberry-forest-ford-100-wall-mounted/7852913656.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
